346575368041410561	106	120	ADR	gaining weight
345922687161491456	27	34	ADR	sweatin
343961812334686208	-	-	noADR	-
345167138966876161	-	-	noADR	-
342380499802681344	118	139	ADR	difficult to come off
347073424193105920	-	-	noADR	-
340446196051091456	-	-	noADR	-
343738299350908928	84	104	ADR	couldn't fall asleep
331437863528972288	68	76	ADR	munchies
331437863528972288	98	140	ADR	not being able to fit into summer wardrobe
345784539915890688	-	-	noADR	-
352936664089387008	0	17	ADR	Allergic reaction
350722228662435841	27	32	ADR	itchy
350722228662435841	40	52	ADR	neck was red
341309981833981952	-	-	noADR	-
351407229305487362	-	-	noADR	-
354428287340122112	-	-	noADR	-
340562310223515648	-	-	noADR	-
340557625643126784	-	-	noADR	-
351446999637299200	46	59	ADR	restless legs
341257688895860736	-	-	noADR	-
352527328976449537	-	-	noADR	-
344597734663270400	-	-	noADR	-
341139910352326656	54	89	ADR	feels like when you come off heroin
348862084961935362	-	-	noADR	-
345607014812110848	95	112	ADR	allergic reaction
341989614153785344	-	-	noADR	-
342616686375100416	0	18	ADR	Stomach discomfort
342616686375100416	20	27	ADR	flushed
342616686375100416	29	37	ADR	sweating
342616686375100416	45	48	ADR	jaw
341958012736507904	40	52	ADR	restlessness
341958012736507904	71	78	ADR	jitters
351543533779419138	51	60	ADR	depressed
351543533779419138	70	78	ADR	suicidal
350240711997788160	-	-	noADR	-
341947752005107713	86	93	ADR	anxiety
341947752005107713	111	121	ADR	irrational
351605957421309952	17	27	ADR	fast pulse
344531829379981313	-	-	noADR	-
342637586717765633	47	63	ADR	fucked up dreams
340462263016243200	-	-	noADR	-
341590362873294848	-	-	noADR	-
350043427544633344	-	-	noADR	-
342977392903589888	-	-	noADR	-
341063755989409792	29	41	ADR	weird dreams
351477881651736578	-	-	noADR	-
345549207278592001	114	139	ADR	tipped me to a dark place
348569764618186753	42	72	ADR	not making me feel so awesome.
353718423064297473	113	117	ADR	bone
347031358591361025	-	-	noADR	-
333194880765546496	43	47	ADR	pain
333194880765546496	78	88	ADR	poor sleep
340286540628500481	-	-	noADR	-
333444462229479424	73	78	ADR	dizzy
333444462229479424	83	88	ADR	tired
348443949851082753	-	-	noADR	-
339950752447467520	-	-	noADR	-
349168277181853696	93	102	ADR	addiction
342794515108741121	11	18	ADR	painful
333320339683676161	-	-	noADR	-
346383184935653377	-	-	noADR	-
340556022101966848	-	-	noADR	-
341995227717988352	-	-	noADR	-
341140203810992128	96	121	ADR	weight still keeps coming
347465817979486208	-	-	noADR	-
350666076348104704	59	68	ADR	zombified
345286735330177024	47	52	ADR	sleep
350499343540813824	-	-	noADR	-
341808582465032192	13	31	ADR	lost effectiveness
341657146909417472	-	-	noADR	-
342299800093487105	-	-	noADR	-
341913366807330817	-	-	noADR	-
346631270186491905	-	-	noADR	-
353010324934377473	-	-	noADR	-
351389550024724482	-	-	noADR	-
342684997771214849	-	-	noADR	-
343354898609471488	35	47	ADR	vision shake
348478051098718208	67	83	ADR	gained 80 pounds
347883700345782272	48	57	ADR	addictive
344628050014642177	-	-	noADR	-
348458049075294211	35	55	ADR	cannot be in the sun
352327453202595840	14	30	ADR	NOT LET ME SLEEP
341767317392326659	52	67	ADR	stopped working
358350698636775424	20	28	ADR	sweating
344189134891524097	-	-	noADR	-
340529024738672640	-	-	noADR	-
342078050097303554	-	-	noADR	-
341947104299724800	-	-	noADR	-
342892952022048768	18	48	ADR	doesn't care about my bed time
346623331916722178	-	-	noADR	-
349084992611164160	112	129	ADR	knocking me about
351683349422673920	48	58	Indication	depression
351683349422673920	63	80	Indication	suicidal thoughts
351683349422673920	104	113	ADR	depressed
329589382350782465	-	-	noADR	-
346476151549612032	76	85	ADR	depressed
342499067663900672	-	-	noADR	-
347053270272987136	-	-	noADR	-
340520477078458368	32	41	ADR	lethargic
341773755195990016	37	44	Indication	anxiety
341773755195990016	65	73	ADR	allergic
341773755195990016	114	117	ADR	SJS
340638766215622656	59	75	ADR	LOSS OF APPETITE
347364004303343616	-	-	noADR	-
328750784500088833	-	-	noADR	-
344469944613875712	55	60	ADR	bloat
328217835249741825	85	93	ADR	restless
341174088531836928	-	-	noADR	-
351400394146070529	45	84	ADR	not dangerous but it is damn unpleasant
344592284962152449	-	-	noADR	-
342677926136930304	-	-	noADR	-
351689406056366081	-	-	noADR	-
343103493718040576	-	-	noADR	-
340558547609862145	-	-	noADR	-
341784793559752704	0	38	ADR	Ready for bed but vyvanse is saying no
341784793559752704	40	57	ADR	forciblynocturnal
340512383955001345	64	73	ADR	tolerance
350855673002729472	103	113	ADR	hotflashes
341989840398716928	50	59	ADR	17h sleep
343473509437149185	-	-	noADR	-
344106817900646401	1	9	ADR	No taste
332738112079937536	28	57	ADR	you are so Horny and I am NOT
349182874865508354	-	-	noADR	-
352846236526706689	87	96	ADR	impotency
351395434624856064	100	106	ADR	drowsy
343781462002245632	-	-	noADR	-
352959477038841856	-	-	noADR	-
333805972822839296	-	-	noADR	-
332273658179493889	30	39	ADR	dry mouth
352621160011268097	-	-	noADR	-
341019565746188288	-	-	noADR	-
345471035656790016	-	-	noADR	-
342303467618062337	-	-	noADR	-
