346575368041410561	106	120	ADR	gaining weight	10047899
345922687161491456	27	34	ADR	sweatin	10020642
343961812334686208	-	-	noADR	-	-
345167138966876161	-	-	noADR	-	-
342380499802681344	118	139	ADR	difficult to come off	10048010
347073424193105920	-	-	noADR	-	-
340446196051091456	-	-	noADR	-	-
343738299350908928	84	104	ADR	couldn't fall asleep	10022437
331437863528972288	68	76	ADR	munchies	10021654
331437863528972288	98	140	ADR	not being able to fit into summer wardrobe	10047899
345784539915890688	-	-	noADR	-	-
352936664089387008	0	17	ADR	Allergic reaction	10020751
350722228662435841	27	32	ADR	itchy	10037087
350722228662435841	40	52	ADR	neck was red	10015150
341309981833981952	-	-	noADR	-	-
351407229305487362	-	-	noADR	-	-
354428287340122112	-	-	noADR	-	-
340562310223515648	-	-	noADR	-	-
340557625643126784	-	-	noADR	-	-
351446999637299200	46	59	ADR	restless legs	10058920
341257688895860736	-	-	noADR	-	-
352527328976449537	-	-	noADR	-	-
344597734663270400	-	-	noADR	-	-
341139910352326656	54	89	ADR	feels like when you come off heroin	10048010
348862084961935362	-	-	noADR	-	-
345607014812110848	95	112	ADR	allergic reaction	10020751
341989614153785344	-	-	noADR	-	-
342616686375100416	0	18	ADR	Stomach discomfort	10000059
342616686375100416	20	27	ADR	flushed	10016825
342616686375100416	29	37	ADR	sweating	10020642
342616686375100416	45	48	ADR	jaw	10049816
341958012736507904	40	52	ADR	restlessness	10038743
341958012736507904	71	78	ADR	jitters	10016338
351543533779419138	51	60	ADR	depressed	10012378
351543533779419138	70	78	ADR	suicidal	10042458
350240711997788160	-	-	noADR	-	-
341947752005107713	86	93	ADR	anxiety	10002855
341947752005107713	111	121	ADR	irrational	10043431
351605957421309952	17	27	ADR	fast pulse	10043071
344531829379981313	-	-	noADR	-	-
342637586717765633	47	63	ADR	fucked up dreams	10000125
340462263016243200	-	-	noADR	-	-
341590362873294848	-	-	noADR	-	-
350043427544633344	-	-	noADR	-	-
342977392903589888	-	-	noADR	-	-
341063755989409792	29	41	ADR	weird dreams	10000125
351477881651736578	-	-	noADR	-	-
345549207278592001	114	139	ADR	tipped me to a dark place	10012378
348569764618186753	42	72	ADR	not making me feel so awesome.	10016322
353718423064297473	113	117	ADR	bone	10036661
347031358591361025	-	-	noADR	-	-
333194880765546496	43	47	ADR	pain	10033371
333194880765546496	78	88	ADR	poor sleep	10062519
340286540628500481	-	-	noADR	-	-
333444462229479424	73	78	ADR	dizzy	10013573
333444462229479424	83	88	ADR	tired	10016256
348443949851082753	-	-	noADR	-	-
339950752447467520	-	-	noADR	-	-
349168277181853696	93	102	ADR	addiction	10013663
342794515108741121	11	18	ADR	painful	10033371
333320339683676161	-	-	noADR	-	-
346383184935653377	-	-	noADR	-	-
340556022101966848	-	-	noADR	-	-
341995227717988352	-	-	noADR	-	-
341140203810992128	96	121	ADR	weight still keeps coming	10047899
347465817979486208	-	-	noADR	-	-
350666076348104704	59	68	ADR	zombified	10016322
345286735330177024	47	52	ADR	sleep	10020765
350499343540813824	-	-	noADR	-	-
341808582465032192	13	31	ADR	lost effectiveness	10043087
341657146909417472	-	-	noADR	-	-
342299800093487105	-	-	noADR	-	-
341913366807330817	-	-	noADR	-	-
346631270186491905	-	-	noADR	-	-
353010324934377473	-	-	noADR	-	-
351389550024724482	-	-	noADR	-	-
342684997771214849	-	-	noADR	-	-
343354898609471488	35	47	ADR	vision shake	10052087
348478051098718208	67	83	ADR	gained 80 pounds	10047899
347883700345782272	48	57	ADR	addictive	10013663
344628050014642177	-	-	noADR	-	-
348458049075294211	35	55	ADR	cannot be in the sun	10034972
352327453202595840	14	30	ADR	NOT LET ME SLEEP	10022437
341767317392326659	52	67	ADR	stopped working	10013709
358350698636775424	20	28	ADR	sweating	10020642
344189134891524097	-	-	noADR	-	-
340529024738672640	-	-	noADR	-	-
342078050097303554	-	-	noADR	-	-
341947104299724800	-	-	noADR	-	-
342892952022048768	18	48	ADR	doesn't care about my bed time	10022437
346623331916722178	-	-	noADR	-	-
349084992611164160	112	129	ADR	knocking me about	10016322
351683349422673920	48	58	Indication	depression	10012378
351683349422673920	63	80	Indication	suicidal thoughts	10042458
351683349422673920	104	113	ADR	depressed	10012378
329589382350782465	-	-	noADR	-	-
346476151549612032	76	85	ADR	depressed	10012378
342499067663900672	-	-	noADR	-	-
347053270272987136	-	-	noADR	-	-
340520477078458368	32	41	ADR	lethargic	10024264
341773755195990016	37	44	Indication	anxiety	10002855
341773755195990016	65	73	ADR	allergic	10020751
341773755195990016	114	117	ADR	SJS	10042033
340638766215622656	59	75	ADR	LOSS OF APPETITE	10061428
347364004303343616	-	-	noADR	-	-
328750784500088833	-	-	noADR	-	-
344469944613875712	55	60	ADR	bloat	10000060
328217835249741825	85	93	ADR	restless	10038743
341174088531836928	-	-	noADR	-	-
351400394146070529	45	84	ADR	not dangerous but it is damn unpleasant	10048010
344592284962152449	-	-	noADR	-	-
342677926136930304	-	-	noADR	-	-
351689406056366081	-	-	noADR	-	-
343103493718040576	-	-	noADR	-	-
340558547609862145	-	-	noADR	-	-
341784793559752704	0	38	ADR	Ready for bed but vyvanse is saying no	10022437
341784793559752704	40	57	ADR	forciblynocturnal	10022437
340512383955001345	64	73	ADR	tolerance	10052804
350855673002729472	103	113	ADR	hotflashes	10060800
341989840398716928	50	59	ADR	17h sleep	10041349
343473509437149185	-	-	noADR	-	-
344106817900646401	1	9	ADR	No taste	10001480
332738112079937536	28	57	ADR	you are so Horny and I am NOT	10024419
349182874865508354	-	-	noADR	-	-
352846236526706689	87	96	ADR	impotency	10061461
351395434624856064	100	106	ADR	drowsy	10041349
343781462002245632	-	-	noADR	-	-
352959477038841856	-	-	noADR	-	-
333805972822839296	-	-	noADR	-	-
332273658179493889	30	39	ADR	dry mouth	10013781
352621160011268097	-	-	noADR	-	-
341019565746188288	-	-	noADR	-	-
345471035656790016	-	-	noADR	-	-
342303467618062337	-	-	noADR	-	-
343625906746687489	-	-	noADR	-	-
326777403470925824	-	-	noADR	-	-
344240414573879297	-	-	noADR	-	-
351455090193858560	33	40	ADR	crazier	10061920
346655051051327488	77	97	ADR	descent into madness	10027374
347068062798843904	-	-	noADR	-	-
343255424683892736	47	55	ADR	insomnia	10022437
343255424683892736	79	87	ADR	insomnia	10022437
342998772105756672	-	-	noADR	-	-
344764641404145664	48	61	ADR	can't sleeeep	10022437
343362848266797057	85	94	ADR	depressed	10012378
343362848266797057	107	118	ADR	overreacted	10014551
341870428870037504	-	-	noADR	-	-
330317678180966401	0	105	ADR	last night I was a mermaid and then a wizard who had to save the world while being hunted by the japanese	10000125
340280399387312128	-	-	noADR	-	-
347305520585121793	12	18	ADR	puking	10047700
347305520585121793	28	36	ADR	headache	10019211
347305520585121793	45	58	ADR	throat is raw	10068318
343447619823095808	79	119	ADR	stop spending all of your income in food	10061428
349427091500040192	-	-	noADR	-	-
344942908404813824	-	-	noADR	-	-
340558355774967808	-	-	noADR	-	-
340558310979821571	-	-	noADR	-	-
342744900044980225	53	64	ADR	dehydration	10012174
351612615128133633	25	30	ADR	crazy	10061920
332308454372950016	110	114	ADR	hurt	10033371
343777549349965825	-	-	noADR	-	-
341423631601111041	-	-	noADR	-	-
342898027377340416	-	-	noADR	-	-
